id,title,description,availability,condition,price,link,image_link,brand
HL-Matcha-Bowl-2B,Matcha Bowl No.2 - Ungu,"Matcha Bowl No.2 varian Ungu dari Homelab cocok untuk menyiapkan ritual matcha dengan alat yang rapi, nyaman, dan siap pakai. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Homelab Matcha Bowl no.2 dirancang untuk kebutuhan ritual matcha ceremonial dengan fokus pada kenyamanan saat whisking. Ukuran dan bentuk mangkuk ideal untuk membantu proses pengadukan matcha agar lebih stabil dan menghasilkan foam yang halus dan merata. Cocok untuk pemula hingga pecinta matcha yang ingin menikmati pen Checkout mudah melalui marketplace resmi Homelab.",in stock,new,192990 IDR,https://www.homelab.co.id/shop/hl-matcha-bowl-2b,https://cf.shopee.co.id/file/id-11134207-82251-mk819aggkt1g05,Homelab
HL-Matcha-Bowl-2C,Matcha Bowl No.2 - Hijau,"Matcha Bowl No.2 varian Hijau dari Homelab cocok untuk menyiapkan ritual matcha dengan alat yang rapi, nyaman, dan siap pakai. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Homelab Matcha Bowl no.2 dirancang untuk kebutuhan ritual matcha ceremonial dengan fokus pada kenyamanan saat whisking. Ukuran dan bentuk mangkuk ideal untuk membantu proses pengadukan matcha agar lebih stabil dan menghasilkan foam yang halus dan merata. Cocok untuk pemula hingga pecinta matcha yang ingin menikmati pen Checkout mudah melalui marketplace resmi Homelab.",in stock,new,192990 IDR,https://www.homelab.co.id/shop/hl-matcha-bowl-2c,https://cf.shopee.co.id/file/id-11134207-82251-mk819aggkt1g05,Homelab
HL-Matcha-Bowl-2D,Matcha Bowl No.2 - Putih,"Matcha Bowl No.2 varian Putih dari Homelab cocok untuk menyiapkan ritual matcha dengan alat yang rapi, nyaman, dan siap pakai. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Homelab Matcha Bowl no.2 dirancang untuk kebutuhan ritual matcha ceremonial dengan fokus pada kenyamanan saat whisking. Ukuran dan bentuk mangkuk ideal untuk membantu proses pengadukan matcha agar lebih stabil dan menghasilkan foam yang halus dan merata. Cocok untuk pemula hingga pecinta matcha yang ingin menikmati pen Checkout mudah melalui marketplace resmi Homelab.",in stock,new,192990 IDR,https://www.homelab.co.id/shop/hl-matcha-bowl-2d,https://cf.shopee.co.id/file/id-11134207-82251-mk819aggkt1g05,Homelab
HL-Matcha-Bowl-3A,Matcha Bowl No.3 - Hijau,"Matcha Bowl No.3 varian Hijau dari Homelab cocok untuk menyiapkan ritual matcha dengan alat yang rapi, nyaman, dan siap pakai. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Homelab Matcha Bowl no.3 dirancang untuk memberikan ruang whisking yang lebih lega dan nyaman, membantu proses pengadukan matcha menjadi lebih stabil dan konsisten. Bentuk mangkuk mendukung pembentukan foam matcha yang halus dan merata, cocok untuk kebutuhan matcha ceremonial maupun matcha latte. Ideal untuk penggunaan Checkout mudah melalui marketplace resmi Homelab.",in stock,new,193900 IDR,https://www.homelab.co.id/shop/hl-matcha-bowl-3a,https://cf.shopee.co.id/file/id-11134207-8224r-mk839sfbdclhce,Homelab
HL-Matcha-Bowl-3B,Matcha Bowl No.3 - Jade,"Matcha Bowl No.3 varian Jade dari Homelab cocok untuk menyiapkan ritual matcha dengan alat yang rapi, nyaman, dan siap pakai. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Homelab Matcha Bowl no.3 dirancang untuk memberikan ruang whisking yang lebih lega dan nyaman, membantu proses pengadukan matcha menjadi lebih stabil dan konsisten. Bentuk mangkuk mendukung pembentukan foam matcha yang halus dan merata, cocok untuk kebutuhan matcha ceremonial maupun matcha latte. Ideal untuk penggunaan Checkout mudah melalui marketplace resmi Homelab.",in stock,new,193900 IDR,https://www.homelab.co.id/shop/hl-matcha-bowl-3b,https://cf.shopee.co.id/file/id-11134207-8224r-mk839sfbdclhce,Homelab
HL-Matcha-Bowl-3C,Matcha Bowl No.3 - Putih,"Matcha Bowl No.3 varian Putih dari Homelab cocok untuk menyiapkan ritual matcha dengan alat yang rapi, nyaman, dan siap pakai. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Homelab Matcha Bowl no.3 dirancang untuk memberikan ruang whisking yang lebih lega dan nyaman, membantu proses pengadukan matcha menjadi lebih stabil dan konsisten. Bentuk mangkuk mendukung pembentukan foam matcha yang halus dan merata, cocok untuk kebutuhan matcha ceremonial maupun matcha latte. Ideal untuk penggunaan Checkout mudah melalui marketplace resmi Homelab.",in stock,new,193900 IDR,https://www.homelab.co.id/shop/hl-matcha-bowl-3c,https://cf.shopee.co.id/file/id-11134207-8224r-mk839sfbdclhce,Homelab
HL-Matcha-Bowl-3D,Matcha Bowl No.3 - Mint,"Matcha Bowl No.3 varian Mint dari Homelab cocok untuk menyiapkan ritual matcha dengan alat yang rapi, nyaman, dan siap pakai. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Homelab Matcha Bowl no.3 dirancang untuk memberikan ruang whisking yang lebih lega dan nyaman, membantu proses pengadukan matcha menjadi lebih stabil dan konsisten. Bentuk mangkuk mendukung pembentukan foam matcha yang halus dan merata, cocok untuk kebutuhan matcha ceremonial maupun matcha latte. Ideal untuk penggunaan Checkout mudah melalui marketplace resmi Homelab.",in stock,new,193900 IDR,https://www.homelab.co.id/shop/hl-matcha-bowl-3d,https://cf.shopee.co.id/file/id-11134207-8224r-mk839sfbdclhce,Homelab
HL-Matcha-Bowl-4A,Matcha Bowl No.4 - Pink,"Matcha Bowl No.4 varian Pink dari Homelab cocok untuk menyiapkan ritual matcha dengan alat yang rapi, nyaman, dan siap pakai. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Homelab Matcha Bowl no.4 dirancang untuk memberikan pengalaman whisking matcha yang nyaman dan stabil. Bentuk mangkuk mendukung proses pengadukan agar lebih konsisten dan membantu menghasilkan foam matcha yang halus dan merata. Cocok untuk kebutuhan matcha ceremonial maupun matcha latte, baik untuk penggunaan harian di Checkout mudah melalui marketplace resmi Homelab.",in stock,new,193900 IDR,https://www.homelab.co.id/shop/hl-matcha-bowl-4a,https://cf.shopee.co.id/file/id-11134207-8224w-mk839sfbls055a,Homelab
HL-Matcha-Bowl-4B,Matcha Bowl No.4 - Hijau,"Matcha Bowl No.4 varian Hijau dari Homelab cocok untuk menyiapkan ritual matcha dengan alat yang rapi, nyaman, dan siap pakai. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Homelab Matcha Bowl no.4 dirancang untuk memberikan pengalaman whisking matcha yang nyaman dan stabil. Bentuk mangkuk mendukung proses pengadukan agar lebih konsisten dan membantu menghasilkan foam matcha yang halus dan merata. Cocok untuk kebutuhan matcha ceremonial maupun matcha latte, baik untuk penggunaan harian di Checkout mudah melalui marketplace resmi Homelab.",in stock,new,193900 IDR,https://www.homelab.co.id/shop/hl-matcha-bowl-4b,https://cf.shopee.co.id/file/id-11134207-8224w-mk839sfbls055a,Homelab
HL-Matcha-Bowl-4C,Matcha Bowl No.4 - Jade,"Matcha Bowl No.4 varian Jade dari Homelab cocok untuk menyiapkan ritual matcha dengan alat yang rapi, nyaman, dan siap pakai. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Homelab Matcha Bowl no.4 dirancang untuk memberikan pengalaman whisking matcha yang nyaman dan stabil. Bentuk mangkuk mendukung proses pengadukan agar lebih konsisten dan membantu menghasilkan foam matcha yang halus dan merata. Cocok untuk kebutuhan matcha ceremonial maupun matcha latte, baik untuk penggunaan harian di Checkout mudah melalui marketplace resmi Homelab.",in stock,new,193900 IDR,https://www.homelab.co.id/shop/hl-matcha-bowl-4c,https://cf.shopee.co.id/file/id-11134207-8224w-mk839sfbls055a,Homelab
HL-Matcha-Bowl-4D,Matcha Bowl No.4 - Broken White,"Matcha Bowl No.4 varian Broken White dari Homelab cocok untuk menyiapkan ritual matcha dengan alat yang rapi, nyaman, dan siap pakai. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Homelab Matcha Bowl no.4 dirancang untuk memberikan pengalaman whisking matcha yang nyaman dan stabil. Bentuk mangkuk mendukung proses pengadukan agar lebih konsisten dan membantu menghasilkan foam matcha yang halus dan merata. Cocok untuk kebutuhan matcha ceremonial maupun matcha latte, baik untuk penggunaan harian di Checkout mudah melalui marketplace resmi Homelab.",in stock,new,193900 IDR,https://www.homelab.co.id/shop/hl-matcha-bowl-4d,https://cf.shopee.co.id/file/id-11134207-8224w-mk839sfbls055a,Homelab
HL-Matcha-Bowl-8A,Matcha Bowl No.8 - Hitam,"Matcha Bowl No.8 varian Hitam dari Homelab cocok untuk menyiapkan ritual matcha dengan alat yang rapi, nyaman, dan siap pakai. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Homelab Matcha Bowl ini dirancang dengan bentuk artisan berlekuk yang nyaman digenggam dan dilengkapi spout kecil untuk menuang lebih rapi. Desain ini membantu proses whisking menjadi lebih stabil serta memudahkan saat menuang hasil seduhan matcha ke cangkir. Tampilan mangkuk terlihat elegan dan estetik, cocok untu Checkout mudah melalui marketplace resmi Homelab.",in stock,new,192990 IDR,https://www.homelab.co.id/shop/hl-matcha-bowl-8a,https://cf.shopee.co.id/file/id-11134207-8224q-mk85p9rt54p3d0,Homelab
HL-Matcha-Bowl-8B,Matcha Bowl No.8 - Hijau,"Matcha Bowl No.8 varian Hijau dari Homelab cocok untuk menyiapkan ritual matcha dengan alat yang rapi, nyaman, dan siap pakai. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Homelab Matcha Bowl ini dirancang dengan bentuk artisan berlekuk yang nyaman digenggam dan dilengkapi spout kecil untuk menuang lebih rapi. Desain ini membantu proses whisking menjadi lebih stabil serta memudahkan saat menuang hasil seduhan matcha ke cangkir. Tampilan mangkuk terlihat elegan dan estetik, cocok untu Checkout mudah melalui marketplace resmi Homelab.",in stock,new,192990 IDR,https://www.homelab.co.id/shop/hl-matcha-bowl-8b,https://cf.shopee.co.id/file/id-11134207-8224q-mk85p9rt54p3d0,Homelab
HL-Matcha-Bowl-8C,Matcha Bowl No.8 - Putih,"Matcha Bowl No.8 varian Putih dari Homelab cocok untuk menyiapkan ritual matcha dengan alat yang rapi, nyaman, dan siap pakai. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Homelab Matcha Bowl ini dirancang dengan bentuk artisan berlekuk yang nyaman digenggam dan dilengkapi spout kecil untuk menuang lebih rapi. Desain ini membantu proses whisking menjadi lebih stabil serta memudahkan saat menuang hasil seduhan matcha ke cangkir. Tampilan mangkuk terlihat elegan dan estetik, cocok untu Checkout mudah melalui marketplace resmi Homelab.",in stock,new,192990 IDR,https://www.homelab.co.id/shop/hl-matcha-bowl-8c,https://cf.shopee.co.id/file/id-11134207-8224q-mk85p9rt54p3d0,Homelab
HL-Matcha-Bowl-8D,Matcha Bowl No.8 - Jade,"Matcha Bowl No.8 varian Jade dari Homelab cocok untuk menyiapkan ritual matcha dengan alat yang rapi, nyaman, dan siap pakai. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Homelab Matcha Bowl ini dirancang dengan bentuk artisan berlekuk yang nyaman digenggam dan dilengkapi spout kecil untuk menuang lebih rapi. Desain ini membantu proses whisking menjadi lebih stabil serta memudahkan saat menuang hasil seduhan matcha ke cangkir. Tampilan mangkuk terlihat elegan dan estetik, cocok untu Checkout mudah melalui marketplace resmi Homelab.",in stock,new,192990 IDR,https://www.homelab.co.id/shop/hl-matcha-bowl-8d,https://cf.shopee.co.id/file/id-11134207-8224q-mk85p9rt54p3d0,Homelab
KontainerSaringanMatcha,Matcha Sifter Container,"Matcha Sifter Container dari Homelab cocok untuk menyiapkan ritual matcha dengan alat yang rapi, nyaman, dan siap pakai. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Homelab Stainless Steel Matcha Container with Easy Matcha Mesh Kontainer + Saringan anti repot untuk Bubuk Matcha 🍵 🌟 Stainless Steel: Kontainer yang terbuat dari bahan stainless steel berkualitas tinggi, tahan lama dan anti karat. 🔍 Mesh Sieve / Shifter: Dengan saringan jala halus, sempurna untuk menyaring dan mem Checkout mudah melalui marketplace resmi Homelab.",in stock,new,276450 IDR,https://www.homelab.co.id/shop/kontainersaringanmatcha,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/169b1cf037364e29a38ba5f167550a72~tplv-aphluv4xwc-origin-jpeg.jpeg?dr=15568&from=520841845&height=1200&idc=my&ps=933b5bde&shcp=2c1af732&shp=1f0b6a75&t=555f072d&width=1200,Homelab
WhiskPlastik,Plastic Matcha Whisk - golden,"Plastic Matcha Whisk varian golden dari Homelab cocok untuk menyiapkan ritual matcha dengan alat yang rapi, nyaman, dan siap pakai. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Homelab Plastic Chasen - Matcha Whisk Plastik Berkualitas Tinggi Elevasikan ritual teh matcha Anda dengan whisk khusus dari bahan plastik food grade yang tahan lama dan berkualitas tinggi. Dibuat dengan presisi untuk menghasilkan micro foam sempurna, alat ini cocok untuk mengocok ceremonial matcha atau bubuk matcha pr Checkout mudah melalui marketplace resmi Homelab.",in stock,new,195000 IDR,https://www.homelab.co.id/shop/whiskplastik,https://cf.shopee.co.id/file/id-11134207-8224y-mi414iy1bxmv36,Homelab
WhiskPlastik-Black,Plastic Matcha Whisk - black,"Plastic Matcha Whisk varian black dari Homelab cocok untuk menyiapkan ritual matcha dengan alat yang rapi, nyaman, dan siap pakai. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Homelab Plastic Chasen - Matcha Whisk Plastik Berkualitas Tinggi Elevasikan ritual teh matcha Anda dengan whisk khusus dari bahan plastik food grade yang tahan lama dan berkualitas tinggi. Dibuat dengan presisi untuk menghasilkan micro foam sempurna, alat ini cocok untuk mengocok ceremonial matcha atau bubuk matcha pr Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,285000 IDR,https://www.homelab.co.id/shop/whiskplastik-black,https://cf.shopee.co.id/file/id-11134207-8224y-mi414iy1bxmv36,Homelab
WhiskPlastik-Yellow,Plastic Matcha Whisk - yellow,"Plastic Matcha Whisk varian yellow dari Homelab cocok untuk menyiapkan ritual matcha dengan alat yang rapi, nyaman, dan siap pakai. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Homelab Plastic Chasen - Matcha Whisk Plastik Berkualitas Tinggi Elevasikan ritual teh matcha Anda dengan whisk khusus dari bahan plastik food grade yang tahan lama dan berkualitas tinggi. Dibuat dengan presisi untuk menghasilkan micro foam sempurna, alat ini cocok untuk mengocok ceremonial matcha atau bubuk matcha pr Checkout mudah melalui marketplace resmi Homelab.",out of stock,new,285000 IDR,https://www.homelab.co.id/shop/whiskplastik-yellow,https://cf.shopee.co.id/file/id-11134207-8224y-mi414iy1bxmv36,Homelab
HL-Matcha-Bowl-6A,Matcha Bowl No.6 - Light Grey,"Matcha Bowl No.6 varian Light Grey dari Homelab cocok untuk menyiapkan ritual matcha dengan alat yang rapi, nyaman, dan siap pakai. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Homelab Matcha Bowl ini dibuat dengan dinding lebih tebal untuk memberikan rasa kokoh dan stabil saat digunakan. Bobot yang solid membantu mangkuk tidak mudah bergeser saat whisking, sehingga matcha tercampur lebih merata dan foam lebih konsisten. Tersedia dengan dua pilihan finishing, gloss dan matte, memberikan pen Checkout mudah melalui marketplace resmi Homelab.",in stock,new,211550 IDR,https://www.homelab.co.id/shop/hl-matcha-bowl-6a,https://cf.shopee.co.id/file/id-11134207-8224q-mk84jynl7a4n70,Homelab
HL-Matcha-Bowl-6B,Matcha Bowl No.6 - Hijau,"Matcha Bowl No.6 varian Hijau dari Homelab cocok untuk menyiapkan ritual matcha dengan alat yang rapi, nyaman, dan siap pakai. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Homelab Matcha Bowl ini dibuat dengan dinding lebih tebal untuk memberikan rasa kokoh dan stabil saat digunakan. Bobot yang solid membantu mangkuk tidak mudah bergeser saat whisking, sehingga matcha tercampur lebih merata dan foam lebih konsisten. Tersedia dengan dua pilihan finishing, gloss dan matte, memberikan pen Checkout mudah melalui marketplace resmi Homelab.",in stock,new,211550 IDR,https://www.homelab.co.id/shop/hl-matcha-bowl-6b,https://cf.shopee.co.id/file/id-11134207-8224q-mk84jynl7a4n70,Homelab
HL-Matcha-Bowl-6C,Matcha Bowl No.6 - Grey Doff,"Matcha Bowl No.6 varian Grey Doff dari Homelab cocok untuk menyiapkan ritual matcha dengan alat yang rapi, nyaman, dan siap pakai. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Homelab Matcha Bowl ini dibuat dengan dinding lebih tebal untuk memberikan rasa kokoh dan stabil saat digunakan. Bobot yang solid membantu mangkuk tidak mudah bergeser saat whisking, sehingga matcha tercampur lebih merata dan foam lebih konsisten. Tersedia dengan dua pilihan finishing, gloss dan matte, memberikan pen Checkout mudah melalui marketplace resmi Homelab.",in stock,new,211550 IDR,https://www.homelab.co.id/shop/hl-matcha-bowl-6c,https://cf.shopee.co.id/file/id-11134207-8224q-mk84jynl7a4n70,Homelab
HL-Matcha-Bowl-6D,Matcha Bowl No.6 - Light Blue,"Matcha Bowl No.6 varian Light Blue dari Homelab cocok untuk menyiapkan ritual matcha dengan alat yang rapi, nyaman, dan siap pakai. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Homelab Matcha Bowl ini dibuat dengan dinding lebih tebal untuk memberikan rasa kokoh dan stabil saat digunakan. Bobot yang solid membantu mangkuk tidak mudah bergeser saat whisking, sehingga matcha tercampur lebih merata dan foam lebih konsisten. Tersedia dengan dua pilihan finishing, gloss dan matte, memberikan pen Checkout mudah melalui marketplace resmi Homelab.",in stock,new,211550 IDR,https://www.homelab.co.id/shop/hl-matcha-bowl-6d,https://cf.shopee.co.id/file/id-11134207-8224q-mk84jynl7a4n70,Homelab
CeramicBowl-WhiteSpout-1730557157776328260,Matcha Bowl + Chasen Holder Ceramic Premium - White Spout,"Matcha Bowl + Chasen Holder Ceramic Premium varian White Spout dari Homelab cocok untuk menyiapkan ritual matcha dengan alat yang rapi, nyaman, dan siap pakai. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Homelab Mangkok Matcha (Chawan) + Chasen Stand 🍵 Mangkok Matcha Premium (Chawan) Bahan Berkualitas: Dibuat dari Ceramic premium dengan finishing marbel yang elegan atau tampilan doff yang mewah. Desain Khusus: Mulut wadah yang lebar khusus dirancang untuk pengadukan matcha, memastikan setiap seduhan Anda selalu halu Checkout mudah melalui marketplace resmi Homelab.",in stock,new,286990 IDR,https://www.homelab.co.id/shop/matcha-bowl-chasen-holder-ceramic-premium-mangkuk-pengaduk-28260-ceramicbowl-whitespout,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/0a56b5c159cb49e1b8486aa44c9265b6~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&from=520841845&height=700&idc=my&ps=933b5bde&shcp=2c1af732&shp=1f0b6a75&t=555f072d&width=700,Homelab
CeramicBowl-StoneBlack,Matcha Bowl + Chasen Holder Ceramic Premium - Stone Black,"Matcha Bowl + Chasen Holder Ceramic Premium varian Stone Black dari Homelab cocok untuk menyiapkan ritual matcha dengan alat yang rapi, nyaman, dan siap pakai. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Homelab Mangkok Matcha (Chawan) + Chasen Stand 🍵 Mangkok Matcha Premium (Chawan) Bahan Berkualitas: Dibuat dari Ceramic premium dengan finishing marbel yang elegan atau tampilan doff yang mewah. Desain Khusus: Mulut wadah yang lebar khusus dirancang untuk pengadukan matcha, memastikan setiap seduhan Anda selalu halu Checkout mudah melalui marketplace resmi Homelab.",in stock,new,286990 IDR,https://www.homelab.co.id/shop/ceramicbowl-stoneblack,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/0a56b5c159cb49e1b8486aa44c9265b6~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&from=520841845&height=700&idc=my&ps=933b5bde&shcp=2c1af732&shp=1f0b6a75&t=555f072d&width=700,Homelab
CeramicBowl-Marble,Matcha Bowl + Chasen Holder Ceramic Premium - Marble,"Matcha Bowl + Chasen Holder Ceramic Premium varian Marble dari Homelab cocok untuk menyiapkan ritual matcha dengan alat yang rapi, nyaman, dan siap pakai. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Homelab Mangkok Matcha (Chawan) + Chasen Stand 🍵 Mangkok Matcha Premium (Chawan) Bahan Berkualitas: Dibuat dari Ceramic premium dengan finishing marbel yang elegan atau tampilan doff yang mewah. Desain Khusus: Mulut wadah yang lebar khusus dirancang untuk pengadukan matcha, memastikan setiap seduhan Anda selalu halu Checkout mudah melalui marketplace resmi Homelab.",in stock,new,286990 IDR,https://www.homelab.co.id/shop/ceramicbowl-marble,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/0a56b5c159cb49e1b8486aa44c9265b6~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&from=520841845&height=700&idc=my&ps=933b5bde&shcp=2c1af732&shp=1f0b6a75&t=555f072d&width=700,Homelab
CeramicBowl-BlackDoff,Matcha Bowl + Chasen Holder Ceramic Premium - Black doff,"Matcha Bowl + Chasen Holder Ceramic Premium varian Black doff dari Homelab cocok untuk menyiapkan ritual matcha dengan alat yang rapi, nyaman, dan siap pakai. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Homelab Mangkok Matcha (Chawan) + Chasen Stand 🍵 Mangkok Matcha Premium (Chawan) Bahan Berkualitas: Dibuat dari Ceramic premium dengan finishing marbel yang elegan atau tampilan doff yang mewah. Desain Khusus: Mulut wadah yang lebar khusus dirancang untuk pengadukan matcha, memastikan setiap seduhan Anda selalu halu Checkout mudah melalui marketplace resmi Homelab.",in stock,new,286990 IDR,https://www.homelab.co.id/shop/ceramicbowl-blackdoff,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/0a56b5c159cb49e1b8486aa44c9265b6~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&from=520841845&height=700&idc=my&ps=933b5bde&shcp=2c1af732&shp=1f0b6a75&t=555f072d&width=700,Homelab
CeramicBowl-White,Matcha Bowl + Chasen Holder Ceramic Premium - White,"Matcha Bowl + Chasen Holder Ceramic Premium varian White dari Homelab cocok untuk menyiapkan ritual matcha dengan alat yang rapi, nyaman, dan siap pakai. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Homelab Mangkok Matcha (Chawan) + Chasen Stand 🍵 Mangkok Matcha Premium (Chawan) Bahan Berkualitas: Dibuat dari Ceramic premium dengan finishing marbel yang elegan atau tampilan doff yang mewah. Desain Khusus: Mulut wadah yang lebar khusus dirancang untuk pengadukan matcha, memastikan setiap seduhan Anda selalu halu Checkout mudah melalui marketplace resmi Homelab.",in stock,new,286990 IDR,https://www.homelab.co.id/shop/ceramicbowl-white,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/0a56b5c159cb49e1b8486aa44c9265b6~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&from=520841845&height=700&idc=my&ps=933b5bde&shcp=2c1af732&shp=1f0b6a75&t=555f072d&width=700,Homelab
CeramicBowl-Stone,Matcha Bowl + Chasen Holder Ceramic Premium - Stone,"Matcha Bowl + Chasen Holder Ceramic Premium varian Stone dari Homelab cocok untuk menyiapkan ritual matcha dengan alat yang rapi, nyaman, dan siap pakai. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Homelab Mangkok Matcha (Chawan) + Chasen Stand 🍵 Mangkok Matcha Premium (Chawan) Bahan Berkualitas: Dibuat dari Ceramic premium dengan finishing marbel yang elegan atau tampilan doff yang mewah. Desain Khusus: Mulut wadah yang lebar khusus dirancang untuk pengadukan matcha, memastikan setiap seduhan Anda selalu halu Checkout mudah melalui marketplace resmi Homelab.",in stock,new,286990 IDR,https://www.homelab.co.id/shop/ceramicbowl-stone,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/0a56b5c159cb49e1b8486aa44c9265b6~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&from=520841845&height=700&idc=my&ps=933b5bde&shcp=2c1af732&shp=1f0b6a75&t=555f072d&width=700,Homelab
CeramicBowl-Pink,Matcha Bowl + Chasen Holder Ceramic Premium - Pink,"Matcha Bowl + Chasen Holder Ceramic Premium varian Pink dari Homelab cocok untuk menyiapkan ritual matcha dengan alat yang rapi, nyaman, dan siap pakai. Anda mendapatkan pilihan produk yang praktis untuk kebutuhan harian, gifting, atau persiapan minuman di rumah dan cafe. Homelab Mangkok Matcha (Chawan) + Chasen Stand 🍵 Mangkok Matcha Premium (Chawan) Bahan Berkualitas: Dibuat dari Ceramic premium dengan finishing marbel yang elegan atau tampilan doff yang mewah. Desain Khusus: Mulut wadah yang lebar khusus dirancang untuk pengadukan matcha, memastikan setiap seduhan Anda selalu halu Checkout mudah melalui marketplace resmi Homelab.",in stock,new,286990 IDR,https://www.homelab.co.id/shop/ceramicbowl-pink,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/0a56b5c159cb49e1b8486aa44c9265b6~tplv-o3syd03w52-origin-jpeg.jpeg?dr=15568&from=520841845&height=700&idc=my&ps=933b5bde&shcp=2c1af732&shp=1f0b6a75&t=555f072d&width=700,Homelab
